,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Name
115,3872.909091,5228.272727,3117.181818,3957.393939,4774.424242,5037.666666,4243.30303,3445.848485,4270.090909,4040.333333,4073.818181,2094.090909,4278.848484,3234.636363,left
116,4025.393939,5102.060606,3431.424242,4071.757575,4620.393939,4771.333333,3869.818181,3296.969697,4169.121212,3913.60606,4210.848484,2937.393939,4262.363636,3626.666666,left
117,4025.393939,5102.060606,3431.424242,4071.757575,4620.393939,4771.333333,3869.818181,3296.969697,4169.121212,3913.60606,4210.848484,2937.393939,4262.363636,3626.666666,left
118,4816.666666,4907.848484,3704.969697,4408.666666,4063.515151,4231.454545,3489.121212,3197.030303,4318,3847.151515,5215.393939,4614.727272,4555.484848,6707.272727,left
119,4447.30303,4252.575757,4469.454545,4400.424242,3314.484848,3789.969697,3232.060606,4138.727272,4342.727272,4054.242424,4729.60606,7668.030302,4375.696969,7920.454545,left
120,4485.939393,4696.121212,3824.484848,4355.60606,3302.121212,3953.272727,3700.333333,6347.696969,4534.363636,4474.60606,4340.151515,6312.666666,4409.696969,6559.939393,left
121,4377.242424,4805.333333,4042.393939,4259.787878,3276.363636,3955.333333,3700.848484,6133.393939,4688.90909,4676.545454,4278.848484,7246.636363,4276.272727,6134.424242,left
122,4118.636363,5900.545454,2972.424242,4958.333333,3117.696969,3930.090909,3947.60606,5687.787878,4303.575757,4509.636363,3563.818181,7137.939393,4083.090909,5148.939393,left
123,3046.60606,5339.030302,4654.90909,5083.515151,3986.757575,4842.939393,5000.060606,5051.060606,4505,4203.636363,4527.151515,2998.696969,3547.848484,3255.757575,left
124,3046.60606,5339.030302,4654.90909,5083.515151,3986.757575,4842.939393,5000.060606,5051.060606,4505,4203.636363,4527.151515,2998.696969,3547.848484,3255.757575,left
125,4095.454545,4710.545454,4842.424242,4627.60606,4546.727272,5415.787878,5267.939393,4693.545454,4448.848484,4440.090909,3775.545454,170,3710.121212,2338.272727,left
126,4095.454545,4710.545454,4842.424242,4627.60606,4546.727272,5415.787878,5267.939393,4693.545454,4448.848484,4440.090909,3775.545454,170,3710.121212,2338.272727,left
127,4095.454545,4710.545454,4842.424242,4627.60606,4546.727272,5415.787878,5267.939393,4693.545454,4448.848484,4440.090909,3775.545454,170,3710.121212,2338.272727,left
128,4169.636363,4959.363636,3582.878788,4997.484848,4618.333333,5059.818181,4064.545454,4166.545454,4490.575757,4216.515151,4098.545454,2757.60606,3761.636363,3126.454545,left
129,4169.636363,4959.363636,3582.878788,4997.484848,4618.333333,5059.818181,4064.545454,4166.545454,4490.575757,4216.515151,4098.545454,2757.60606,3761.636363,3126.454545,left
130,4547.757575,5661.515151,2426.878788,4522.515151,4803.272727,5226.727272,4149.030303,4040.848484,4440.60606,4182.515151,4046.515151,899.4545454,3991.393939,4166.030303,left
131,3906.909091,4923.818181,2945.636363,4449.878787,4846.030303,4936.181818,4021.272727,3327.363636,4229.90909,4025.909091,4073.30303,2527.333333,4317.484848,4656.454545,left
132,4823.363636,5164.90909,3168.696969,4263.393939,4270.090909,4491.090909,3800.787878,3054.848485,4221.151515,3852.818181,5059.30303,2942.030303,4795.545454,6796.90909,left
133,4225.272727,4673.969697,3650.363636,4596.696969,3891.454545,4374.666666,3770.393939,3264,4228.878787,3835.30303,4908.363636,6395.090908,4639.969697,7022.030302,left
134,4156.757575,4373.636363,3738.454545,4449.363636,3627.696969,4203.636363,3734.333333,3822.939394,4252.575757,3924.939394,4687.363636,7946.727272,4502.939393,7425.393939,left
135,4350.454545,4666.242424,3505.090909,4203.121212,3684.363636,4296.363636,4028.484848,6023.666666,4533.333333,4387.030303,4158.818181,6070.030302,4519.939393,5735.696969,left
136,4350.454545,4666.242424,3505.090909,4203.121212,3684.363636,4296.363636,4028.484848,6023.666666,4533.333333,4387.030303,4158.818181,6070.030302,4519.939393,5735.696969,left
137,4025.909091,4803.787878,3260.909091,4124.818181,3611.212121,4289.666666,3955.848484,6084.454545,4645.636363,4685.818181,4097,7100.333333,4667.272727,5804.727272,left
138,4025.909091,4803.787878,3260.909091,4124.818181,3611.212121,4289.666666,3955.848484,6084.454545,4645.636363,4685.818181,4097,7100.333333,4667.272727,5804.727272,left
139,3784.818181,4907.333333,2796.757575,4460.181818,3410.818181,4155.212121,4033.636363,5680.575757,4544.151515,4677.060606,3997.060606,8107.969696,4312.848484,5875.818181,left
140,3698.272727,5291.636363,2729.787879,4893.424242,3451,4329.848484,4462.242424,5543.030302,4498.30303,4499.848484,4123.272727,6001.515151,3962.545454,5290.60606,left
141,4542.60606,4154.181818,5205.60606,5275.666666,3764.212121,4858.90909,5206.121212,4795.030303,4490.060606,4121.212121,4719.30303,3263.484848,3255.242424,2174.454545,left
142,4542.60606,4154.181818,5205.60606,5275.666666,3764.212121,4858.90909,5206.121212,4795.030303,4490.060606,4121.212121,4719.30303,3263.484848,3255.242424,2174.454545,left
143,4542.60606,4154.181818,5205.60606,5275.666666,3764.212121,4858.90909,5206.121212,4795.030303,4490.060606,4121.212121,4719.30303,3263.484848,3255.242424,2174.454545,left
144,4155.212121,5567.242424,2313.545454,4466.363636,5186.545454,5560.030302,4224.757575,3854.363636,4461.212121,4252.060606,4093.393939,450.2424242,4146.969697,3291.818181,left
145,4155.212121,5567.242424,2313.545454,4466.363636,5186.545454,5560.030302,4224.757575,3854.363636,4461.212121,4252.060606,4093.393939,450.2424242,4146.969697,3291.818181,left
146,3765.757575,5121.121212,2901.848485,4456.060606,5115.454545,5370.454545,4344.787878,3039.393939,4206.727272,4033.121212,3839.424242,808.2727272,3967.696969,2975,left
147,3980.060606,5140.696969,2420.181818,4455.030303,4930.515151,5251.969696,4373.121212,2571.121212,4088.242424,3782.757575,3879.60606,1260.575757,4141.818181,4305.636363,left
148,4542.60606,5415.787878,2297.060606,4829.030303,4343.242424,5050.545454,4641,2487.666666,4151.090909,3763.696969,4750.212121,1551.121212,4441.636363,5583.212121,left
149,4680.666666,5210.757575,3017.242424,4988.727272,4038.787878,4881.060606,5169.030303,2133.242424,4140.272727,3900.212121,4939.787878,3014.151515,4313.878787,5804.727272,left
150,4680.666666,5210.757575,3017.242424,4988.727272,4038.787878,4881.060606,5169.030303,2133.242424,4140.272727,3900.212121,4939.787878,3014.151515,4313.878787,5804.727272,left
151,4285.545454,4697.666666,3260.393939,4454,3574.121212,4650.787878,3656.030303,6803.60606,4668.30303,4644.60606,4458.121212,5974.727272,4540.545454,6261.151515,left
152,3831.181818,4568.878787,2891.545454,3987.787878,3393.30303,4629.151515,3827.060606,6443.515151,4665.727272,4499.848484,3888.878787,7855.545454,4384.969697,6628.969696,left
153,3831.181818,4568.878787,2891.545454,3987.787878,3393.30303,4629.151515,3827.060606,6443.515151,4665.727272,4499.848484,3888.878787,7855.545454,4384.969697,6628.969696,left
154,4163.454545,4884.666666,7205.424242,4967.60606,3583.909091,3499.939394,4077.939394,5226.727272,4561.151515,4325.212121,4447.30303,4740.939393,3670.454545,2535.575757,left
155,5136.575757,3555.060606,6845.848484,5887.151515,3305.727272,3736.393939,4552.393939,4701.787878,4388.575757,4030.030303,4860.969696,6194.181818,3396.393939,993.2121211,left
156,5136.575757,3555.060606,6845.848484,5887.151515,3305.727272,3736.393939,4552.393939,4701.787878,4388.575757,4030.030303,4860.969696,6194.181818,3396.393939,993.2121211,left
157,3226.909091,4703.333333,2718.454545,4765.666666,4972.242424,6037.575757,5668.212121,4847.575757,4727.030303,4195.90909,4917.121212,1557.30303,3354.151515,1805.60606,left
158,3226.909091,4703.333333,2718.454545,4765.666666,4972.242424,6037.575757,5668.212121,4847.575757,4727.030303,4195.90909,4917.121212,1557.30303,3354.151515,1805.60606,left
159,2526.818182,5230.333333,2894.636363,3840.969697,5016.545454,6280.212121,5504.393939,4284,4775.454545,4427.727272,4440.60606,1174.545454,3667.363636,363.6969697,left
160,2526.818182,5230.333333,2894.636363,3840.969697,5016.545454,6280.212121,5504.393939,4284,4775.454545,4427.727272,4440.60606,1174.545454,3667.363636,363.6969697,left
161,4202.60606,5699.636363,291.060606,4988.212121,4763.60606,4670.878787,3355.181818,2213.090909,4127.90909,4121.212121,3872.393939,270.9696969,4483.878787,6138.545454,left
162,4202.60606,5699.636363,291.060606,4988.212121,4763.60606,4670.878787,3355.181818,2213.090909,4127.90909,4121.212121,3872.393939,270.9696969,4483.878787,6138.545454,left
163,4202.60606,5699.636363,291.060606,4988.212121,4763.60606,4670.878787,3355.181818,2213.090909,4127.90909,4121.212121,3872.393939,270.9696969,4483.878787,6138.545454,left
164,4202.60606,5699.636363,291.060606,4988.212121,4763.60606,4670.878787,3355.181818,2213.090909,4127.90909,4121.212121,3872.393939,270.9696969,4483.878787,6138.545454,left
165,5261.757575,4687.363636,5735.181818,4683.757575,3568.969697,4052.696969,3291.818181,7013.272727,4232.484848,4445.242424,3074.424242,6537.272727,4013.545454,4804.30303,left
166,4009.939394,5481.212121,4709,3598.848484,3849.727272,6002.545454,6558.90909,6139.060605,4716.212121,4354.060606,4653.878787,3176.424242,3803.363636,4547.242424,left
167,5631.121212,4019.212121,6842.757575,5965.969696,3853.848484,4066.090909,2977.575757,5986.575757,4904.242424,4277.818181,4664.696969,4659.030303,3146.030303,166.9090909,left
168,4681.181818,3652.424242,7861.727272,5742.90909,3623.060606,2992,3922.363636,5466.787878,4741.454545,4180.969697,5108.757575,5085.060606,3138.818182,842.2727272,left
169,4681.181818,3652.424242,7861.727272,5742.90909,3623.060606,2992,3922.363636,5466.787878,4741.454545,4180.969697,5108.757575,5085.060606,3138.818182,842.2727272,left
170,3569.484848,3460.787878,7058.090908,5483.272727,3468.515151,3612.242424,5618.242424,4741.969696,4538.484848,4083.60606,5620.30303,4003.757575,3163.030303,1896.787879,left
171,3796.666666,3835.30303,4786.787878,4840.878787,3764.212121,4327.787878,4595.151515,5751.666666,4601.848484,4328.30303,5009.848484,4165,3309.333333,885.5454545,left
